title_english,content_english,link
Problem 1. “Where do the exhibits disappear?”,"In the historical and local history museum of the Ural city of Katav-Ivanovsk, exhibits disappear without a trace: they are simply devoured by hungry rats. At first they took a liking to stuffed birds and small animals, and now they have started on the bear. What should museum employees do?",https://www.trizland.ru/tasks/1241/
Problem 2. “Is Old Man Hottabych to blame?”,"Anyone who has read one fairy tale remembers that Old Man Hottabych “rooted” for his favorite football team. But he received a scolding from his venerable master Volka ibn Alyosha for the devastating expense. Hottabych then had to instantly infect all members of the losing team with measles. As a result, the result of the match was canceled. So what? History repeats itself. In September 1998, an American football match took place between the teams: Duke University and the Blue Devils (Florida). And the result? On the same day, all the players came down with a severe viral disorder stomach. It’s interesting that Old Man Hottabych was not present at this match... I would like to find out the reason for such an unexpected incident. Your versions?",https://www.trizland.ru/tasks/1777/
Problem 4. “Reflective network”,"As studies have shown, the threads of the web best reflect ultraviolet rays, and ultraviolet is a signal of clear skies, and gullible insects rush there. However, if the web is illuminated, it will simply be visible, and not a single self-respecting fly will head to certain death. How did they solve this problem and how do they lure the victim into their networks?",https://www.trizland.ru/tasks/1626/
Problem 5. Network on the horizon,"Forest. Spider networks. Some of them are located horizontally. But it is not clear why this was done. After all, insects no longer fly up and down, but horizontally. By the way, it is interesting that the owner himself walks upside down on such a network. So: Why is the network located horizontally? Why does the spider walk upside down on such a network? Suggest hypotheses.",https://www.trizland.ru/tasks/1627/
Problem 6. “Repairing networks”,"Spiders weave webs at night or early in the morning. Moreover, these networks do not last long. Why? It’s just that in dry air the sticky substance changes its consistency and the strength of the network decreases. Beetles, bumblebees and other large insects tear apart the web. Therefore, after one or two nights the spider has to renew the network. Such weak networks need to be constantly repaired, and this leads to a large consumption of building material. So you won’t get enough material. How did spiders solve this problem?",https://www.trizland.ru/tasks/1628/
Problem 7. Signal network,"Oh, World of Smells! Oh, World of light and color! Oh, the World of sounds!.. The worlds in which we live. What about the World of touch? In this world, a person does not feel very confident - there are no developed organs. Spiders live in the World of Touch. At the tips of their legs, spiders have extremely sensitive organs of touch. The arachnoid network is, as it were, a tactile organ of an insect carried far from the body, transmitting information. However, there are always many influences on the web - the influence of wind and rain, the influence of large animals and insects. I wonder how a spider obtains the necessary information from a large number of influences on the web? Why doesn't he rush at every movement of the net?",https://www.trizland.ru/tasks/1629/
Problem 8. “Spiders in a flock”,"Swarms of spiders. Do they exist in nature? If so, why do spiders flock together? Surely, just like, for example, wolves, they flock together in order to hunt for large prey. It is known that such spiders exist in nature, and they jointly hunt for insects that they cannot cope with alone. However, in order to hunt in concert, they need a communication system. This is good for wolves - they have well-developed vision and hearing. And spiders have only one wealth - the web. Spiders living in groups use special web threads to disseminate information to all their relatives. In this case, the signal threads are quite long and therefore need to be secured somewhere. But a thread attached to a support cannot transmit vibrations. What about spiders?",https://www.trizland.ru/tasks/1631/
Problem 9. “A fly for lunch”,"Big fly for lunch. It is so beautiful! For a spider. However, spiders are small insects. Spiders differ from other arthropods in that their body is divided into two parts. The head is fused with the chest and, with the help of a thin part, is connected to the tummy. This part of the spider's body contains the lungs, liver, heart, ovaries and digestive tract. But the latter is very small, and the fly is big. I wonder how the spider eats a fly that would not fit inside the spider?",https://www.trizland.ru/tasks/1632/
Problem 11. Spider Bell Underwater ,"Spiders living underwater need to transport a large bubble of air from the surface of the water to the depths. This is easy to say but difficult to do, since air is much lighter than water and tends to rise. In addition, it is necessary to quickly and accurately find its home. What should a spider do?",https://www.trizland.ru/tasks/1634/
Problem 13. Spiders vs. Bees ,"Some spiders cause trouble for humans. The labyrinth spider living in the meadows weaves its webs so diligently that it sometimes destroys many bees. Beekeepers value bees, but spiders are also useful and should not be poisoned. What do you recommend beekeepers do?",https://www.trizland.ru/tasks/1243/
